game,note_user
Age of Wonders,3.5
Age of Wonders 2,3.5
Age of Wonders III,3.09375
Age of Wonders Shadow Magic,5.0
Age of Wonders Trilogy Soundtrack,5.0
Age of Wushu,5.0
Aggression Europe Under Fire,5.0
Agricultural Simulator 2011 Extended Edition,5.0
Agricultural Simulator 2013 Steam Edition,3.0
Agricultural Simulator Historical Farming,5.0
Aion,3.5
Aion Collectors Edition,5.0
Air Brawl,3.5
Air Conflicts - Secret Wars,3.5
Air Conflicts Pacific Carriers,3.0
Air Forte ,5.0
AirBuccaneers,3.2
AirMech,2.7209302325581395
Airline Tycoon 2,3.8
Airline Tycoon Deluxe,5.0
Airport Madness World Edition,5.0
Airport Simulator 2014,5.0
Akane the Kunoichi,3.5
Akaneiro Demon Hunters,5.0
Akaneiro Early Access Starter Pack,5.0
Akuatica,5.0
Alan Wake,2.852272727272727
Alan Wake's American Nightmare,4.0
Albedo Eyes from Outer Space,5.0
Albino Lullaby Episode 1,5.0
Alchemy Mysteries Prague Legends,4.4
Alex Hunter - Lord of the Mind,5.0
Alganon,5.0
Alice Madness Returns,3.037037037037037
Alien Breed 2 Assault,2.7142857142857144
Alien Breed 3 Descent,4.0
Alien Breed Impact,2.4
Alien Carnage / Halloween Harry,5.0
Alien Hallway,5.0
Alien Isolation,3.129032258064516
Alien Rage - Unlimited,2.4
Alien Shooter,5.0
Alien Shooter 2 Conscription,5.0
Alien Shooter 2 Reloaded,5.0
Alien Shooter Revisited,5.0
Alien Shooter Vengeance,4.0
Alien Spidy,5.0
Alien Swarm,2.6470588235294117
Alien Zombie Megadeath,5.0
Aliens Colonial Marines,2.4545454545454546
Aliens versus Predator Classic 2000,3.8
Aliens vs. Predator,2.958904109589041
All Is Dust,2.3333333333333335
All Zombies Must Die!,3.0
Alone in the Dark,5.0
Alpha Kimori Episode One ,3.5
Alpha Prime,4.0
Alpha Protocol,2.466666666666667
Alter Ego,5.0
Alter World,5.0
Altitude,2.8461538461538463
Alum,5.0
Always Sometimes Monsters,2.6666666666666665
Always Sometimes Monsters - Soundtrack,5.0
Always Sometimes Monsters Demo,5.0
Amazing Adventures Around the World,5.0
Amazing Adventures The Lost Tomb,5.0
Amazing Princess Sarah,5.0
Amazing World,1.8333333333333333
Amazon's Jungle Bundle,5.0
America's Army 3,2.0625
America's Army Proving Grounds,2.056603773584906
American Conquest,5.0
American Conquest - Fight Back,5.0
Amerzone The Explorer's Legacy,5.0
Amnesia A Machine for Pigs,3.24
Amnesia Memories,5.0
Amnesia The Dark Descent,2.7876106194690267
Among Ripples,1.75
Among the Sleep,4.0
Ampu-Tea,3.0
Amygdala,5.0
An Alternative Reality The Football Manager Documentary,5.0
An Assassin in Orlandes,5.0
Anachronox,5.0
Analogue A Hate Story,2.7142857142857144
Anarchy Arcade,3.2
Ancient Planet,5.0
Ancient Space,5.0
And Yet It Moves,2.2666666666666666
Angels Fall First,3.0
Angels of Fasaria Version 2.0,5.0
Angry Birds Space,5.0
Angry Video Game Nerd Adventures,3.1
Angvik,5.0
Anna - Extended Edition,2.727272727272727
